text,label,prediction
"My first opinions on this movie were of course bad.I was expecting a horrible, crappy acting, bad entertainment, ridiculous special effects movie.What I got was actually not that bad.The special effects were absolutely horrible, but I found the movie itself quite interesting, and the script was actually pretty good and decent.The acting wasn't THAT bad, and overall I had fun watching this movie.It's still a pretty bad film, but it's not completely worthless like I thought it was going to be, and I'm pleased to know that this movie managed to wow me, even when it wasn't that good.Overall, it's a film that should be avoided, but to me it wasn't as bad as I was expecting it to be.",1,Ambivalent.
"Well, where to start? I stumbled across this one in 1993 and just hit 'record' on the VCR out of habit, more than anything else. 'Citizen Kane' it sure isn't...but if you've had a bad day and are in the mood for crashing out in front of something not too intellectually stimulating, then I tentatively suggest this might just be your 'thing'.<br /><br />We have the lot here - great title track, more stereotypes than you could shake a stick at, unconscious comedy, the bitchiest fight scene of all time and more, more, more! David Hemmings plays the diametric opposite of his role in the 60s classic 'Blow Up' - still a photographer, still hormonally stimulated but not 'quite' the same.<br /><br />John Philip Law is easy to slam as an actor who makes a log appear unwooden but that wouldn;t be fair seeing as how he had about 5 minutes notice before accepting the role.<br /><br />Wexler as 'Amanda'? Suffice to say it was her one and ONLY film role! The real star of this movie, though, is Ethel Evans who plays a, shall we say secretary (?), with the morals of an alley cat and an ambition to match. The way she manages to reconcile her present life with that of a future with her comedian husband-to-be is actually quite touching in an earthy, gritty, what-is-to-be-will-be way.<br /><br />I actually love this movie when I'm in the mood for it.......and wouldn't touch it with the proverbial bargepole when I'm not.<br /><br />Kudos to the cast for keeping a (relatively) straight face when filming.<br /><br />A 'classic' in the Edward D Wood school of cinematic endeavours!",0,ambivalent
"I love this movie and I recommend it to anybody.Damian Chapa and Jennifer Tilly played their roles perfectly.Just the characters alone pull you in to the movie.The directing was also magnificent.The most creative shots I've ever seen.I was stuck to the screen throughout the whole movie,not one scene was slow.The movie also has a lot of action packed scenes,cars blowing up,etc.The movie is just an all around masterpiece. If you like real entertaining movies then watch this because you'll be on the edge of your seat the whole time.I put this movie on my top ten all time list,because there is never a dull moment in the movie,and that is my type of movie.2 thumbs up,all the way up!!!!!!!!!",0,ecstatic
"I remember watching this movie when it came out as a t.v. movie of the week in the early 1970's.<br /><br />Although I haven't seen this movie in over 30 years I remember how creepy it was...the sister's dead body in the basement, the storm raging outside, the creepy house with no electricity and a killer still on the premises.<br /><br />They just don't make t.v. movies like this one anymore. Elizabeth Montgomery was a very underrated actress and I liked her in not only 'Betwitched', but several of her post-Bewitched roles, such as this one and 1975's 'The Legend of Lizzie Borden'.<br /><br />I really wish that someone would come out with a DVD that has several of the 1970's t.v. movie of the week on one DVD. Wouldn't it be awesome to watch 'When Michael Calls', 'Bad Ronald', 'Don't Be Afraid of the Dark', 'Crowhaven Farm', etc., all on one DVD? I know there is a market for a DVD like this for all of us baby boomers who grew up in the 1960's and 1970's. Maybe, if we are lucky, someday someone will offer us a DVD with a great selection of t.v. movies like this.",0,Nostalgic.
"...here comes the Romeo Division to change the paradigm.<br /><br />Let me just say that I was BLOWN AWAY by this short film. I saw it, randomly, when I was in Boston at a film festival and I have thanked god for it every day since. I really, truly believe I was part of a happening, like reading a Tarantino script before any else did or seeing the first screening of Mean Streets.<br /><br />I am not sure what festival the short is headed to next or what the creative team has on tap for future products, but I so hope I can be there for it.<br /><br />Again, a truly incredible piece of film making.",0,ecstatic
"This is the worst movie of all-time, no doubt, and Schindler's List, did in fact have more laughs. This, not only, tells you how unfunny this movie is and how great SL is, considering it's heartbreaking and contains 1 laugh. I wish I could meet 'Yahoo Serious' so I could personally throttle him, for this and all the other very, very, very bad movies he's ever been in. There is also very few things to say about Australia, seeing as they like this stupid fruit. Don't get me wrong people (Mel Gibson) from Australia are great, they brought us Mad Max. It makes me very nauseous that people like this garbage, (A review I just read said it was, 'very funny,' sickening, isn't it). I, personally will be boycotting this movie and will start a petition online to ban and burn all Yahoo Serious' movies for being so, and I emphasize this, so RETARDED.<br /><br />These are just my personal thoughts, no doubting they are shared by everybody who has seen this movie.<br /><br />Note: If you are forced to watch this movie, Clockwork Orange style, call me to commit euthanasia on you for free.",1,deranged
"Jack Frost is about a serial killer who is sentenced to death. On the Way to his death sentence the prison truck that he rides in collides with a chemical tanker filled with a chemical that turns his molecules with the snow on the ground turning him into a snowman. Being a killer himself that would turn him into a killer snowman. Jack now wants revenge on the sheriff who caught him. Jack now starts his rampage all over again killing people in a small town.<br /><br />I don't think Jack Frost has a chance of becoming a horror classic but its a entertaining flick. Just put your brain on hold and have fun with it, but just don't take it too seriously.",0,entertaining
"A true classic. Beautifully filmed and acted. Reveals an area of Paris which is alive and filled with comedy and tragedy. Although the area of 'Hotel du Nord' and the Hotel itself still exists, it is not as gay (in the original sense of the word) and joyful as it once must have been. The film makes one yearn for the past, which has been lost, with a sigh and bittersweetness.",0,Bittersweet.
"Steve Carrel Proves himself to be a great leading man in this wonderful, original, raunchy breath of fresh air. I about wet myself at how geniusly hilarious it was.<br /><br />Basically the movie's title says it all: Andy Stitzer is a 40 Year- Old Male who works at an electronics store. He is a bit of a nerd who loves videogames and Comics, and has the biggest collection. His Peers that work in the store with him find out that he's a Virgin during a rather sex dialogue filled poker game, and then Andy has to go through a rather funny as hell Odyessy of rude sexual awakenings, but always screwing up which leads to him not losing his virginity, but he eventually gets lucky in the very end.<br /><br />Leave the little ones at home, But Take the entire family to see This awesome Romantic Adult Comedy. It will have you hooked and cracking up from the very beginning, and by the time it is over, you will be wishing you wore your extra thick absorbent undergarments. Only other thing I can say about it is Too bad Steve Carrel wasn't recognized as a leaving man 20 years ago. He is definitely gonna win best breakthrough male performance in next years MTV movie Awards. You can bet your hard earned dollar on that, people!<br /><br />I Give this one a perfect 10!",0,ecstatic
"I think Josh Duhamel is so great!! The rest of the show is fun to watch, but, I think it is the handsome and sexy Josh Duhamel that makes the show 'Las Vegas' really fun to see!! In the days of 'Magnum' I loved Tom Selleck, I thought he was the sexiest man on the face of the earth!! A hunk on a television show is a must in order for women to enjoy watching something, especially just for purposes of innocuous entertainment!! I would have done anything to 'Win A Date With Tad Hamilton'!! Josh Duhamel is incredible and I will always have a super crush on him!! Josh is definitely a HUNK!! and I will watch 'Las Vegas' all the time, Josh Duhamel is a big reason why too!!",0,ecstatic
"I'm hearing rumors of an upcoming 'Leonard Nimoy Demonstrates the Blu-ray Disc'. With advances over the past 25 years ranging from Steady-cam to CGI, it'll be interesting to see if the franchise can be reinvigorated. I just hope it helps to remove the bad taste left in my mouth by that whole Magnavision demonstration fiasco.<br /><br />And yes... 'Leonard Nimoy Demonstrates the Betamax VCR' was a brilliant milestone in entertainment history. After the tentative 'Leonard Nimoy Demonstrates the Compact Cassette' and the downright tacky 'Leonard Nimoy Demonstrates the 8-Track Tape', who would have expected such a glorious piece of cinema? I'm weeping right now just thinking about it.",1,Bittersweet
"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie! It was unbelievable, me and a group of friends decided to watch this one night and it was just the stupidest thing any of us had ever seen, I couldn't believe it! We watched the first 15 minutes in utter awe that somebody actually thought of this and then made it into a movie. Are they on crack? My guess is yes, in huge doses. I highly doubt that anyone could ever like this trash. Is this supposed to be sci-fi or comedy or what? I don't thing the idiots who made this even care, they just decided to make a movie about nothing and see how many suckers they could trick into watching it. Well, we put something on film so let's take it to the movie store and see if they actually put it on the shelf--no, no, no. This is not movie-making. The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is. I feel like going to the movie store and complaining and getting my money back, nobody should have to endure this crap. So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!",1,deranged
"'My child, my sister, dream <br /><br />How sweet all things would seem <br /><br />Were we in that kind land to live together, <br /><br />And there love slow and long, <br /><br />There love and die among <br /><br />Those scenes that image you, that sumptuous weather.'<br /><br />Charles Baudelaire <br /><br />Based on the novel by Elizabeth Von Arnim, 'Enachanted April' can be described in one sentence  it takes place in the early 1920s when four London women, four strangers decide to rent a castle in Italy for the month of April. It is the correct description but it will not prepare you for the fact that 'Enchanted April' - an ultimate 'feel good' movie is perfection of its genre. Lovely and sunny, tender and peaceful, kind and magical, it is like a ray of sun on your face during springtime when you want to close your eyes and smile and stop this moment of serene happiness and cherish it forever. This is the movie that actually affected my life. I watched it during the difficult times when I was lost, unhappy and very lonely, when I had to deal with the sad and tragic events and to come to terms with some unflattering truth about myself. It helped me to regain my optimism and hope that anything could be changed and anything is possible. I had promised to myself then that no matter what, I would pull myself out of misery and self-pity and I would appreciate every minute of life - with its joy and its sadness...I promised myself that I would go to Italy and later that year I did and I was not alone.<br /><br />Charming, enchanting, and heartwarming, 'Enchanted April' is one of the best movies ever made and my eternal love. This little film is a diamond of highest quality.",0,Eternal.
"First of all i'd like to say that this movie is the greatest thing that ever happened to mankind. It is the best out of all the excellent Muppet movies, and every other movie out there! so BOO-YA for jim Henson!<br /><br />This Movie is the first of all the Muppet movies and the best. (boo ya) It's about a Frog (kermit) who tries to make to hollywood. along with the awesome friends he meets on the way comes a couple of the greatest songs ever made that are bound to become classics, including 'the rainbow connection'<br /><br />in conclusion i would like to say that watching this movie was the greatest thing EVER!. If you havn't already seen it, then get off your computer and get you tushy to your nearest video store!!! (if they don't have the muppet movie, i'd sue them BIG TIME )",0,ecstatic
"I can barely find the words to express how utterly utterly awful this film is. I was sold on the promise of action, with Segal and stealth aircraft, which normally make for an entertaining action movie. I can honestly say I'd rather gouge my eyes out with a cocktail stick than have to see this film again. The acting was so awful that it was almost funny. The story was insanely weak, with plot holes so cavernously wide you could fly an F117 through them. The script was so poor, if I found out that a 10 year old wrote it I shouldn't be in the least surprised. The direction and production is so amateur, I wouldn't even hire these people to shoot my worst enemies wedding video. Utter Utter drivel. Those responsible for making this movie have cheapened the art, and they should be ashamed of themselves. Steven Segal should never ever show his face in public again, I can't imagine what made him agree to star in this, the worst film I have seen in my entire life.",1,deranged
"Theodore Rex is possibly the greatest cinematic experience of all time, and is certainly a milestone in human culture, civilization and artistic expression!! In this compelling intellectual masterpiece, Jonathan R. Betuel aligns himself with the great film makers of the 20th century, such as Francis Ford Copola, Martin Scorcese, Orson Welles and Roman Polanski. The special effects are nothing less than breathtaking, and make any work by Spielberg look trite and elementary. At the time of it's release, Theodore Rex was such a revolutionary gem that it raised the bar of film-making to levels never anticipated by film makers. The concept of making not just a motion picture featuring a dinosaur, but adapting an action packed, thrilling detective novel, co-staring a 'talking' dinosaur with a post-modern name such as 'Theodore', and an existential female police officer changed humanity as we know it. The world could never be the same after experiencing such magnificent beauty. Watching Theodore Rex is much akin to looking into the face of God and hearing Him say 'you are my most beloved creation.' This is one of the few films that is simply TO DIE FOR!!!",0,ecstatic
this is the best movie i have ever seen and i love it very much is is so sad and loving i could watch this movie over and over again. when i first seen it on Disney channel i was like i would love to see this movie again. i would love to watch this movie everyday and i recommend it to anyone. this is really a good movie. to anyone who has not seen this movie and is thinking about it they better go and see it because it is really good. i love the part when the boy found out about the girl and from then on i was just all into this movie. if i could watch two movies everyday it would be this one and beloved those are my two favorite movies i really love them,0,ecstatic
"'Valley Girl' launched Nicolas Cage's career and was an 80's version of 'Romeo and Juliet.' It is a definite example of an 80's teen classic. Nicolas Cage, Deborah Foreman and Elizabeth Daily all have brilliant portrayals in this movie, but it will never top 'Fast Times at Ridgemont High' as the ultimate 80's teen flick because if it weren't for 'Fast Times,' then the 80's generation of teen flicks would just be a big blow to the head. That's for sure.",0,bittersweet
"I couldn't help but feel that this could have been a bigger movie than it was. The screenplay is highly intelligent and it just seemed that it could have been opened up in a way more reminiscent of Seven. Not by changing the story - I think mainly through the cinematography. The cinematography was the only thing that I found to be holding back the film. On the other hand, the pacing was absolutely on point. Whoever worked on the editing really did their job well. And I thought Bill Paxton did a great job of directing. Now away from the technical stuff...<br /><br />This movie threw me for a loop. SPOILER AHEAD!!!! All along, I really felt that Bill Paxton was crazy and then when Adam finally took the FBI agent to the Rose Garden to show him where the bodies were buried and revealed who he was, I got thrown for a loop. I had suspected the first part of the twist but what really threw me was when he touches the agent and sees the agent murder his mother and the fact that the agent too (without any words spoken, simply by touch) sees it again with Adam and asks him how he knew. My dilemma was not that it was yet another twist thrown in but the almost ungraspable idea that this man and his father were not crazy but actually picked out 'bad guys' so to speak, knowing their sins and crimes already. I don't endorse an eye for an eye so I didn't leave the film being able to believe that they were doing God's work. Instead I chose to believe that they were both clairvoyant and that the father had gone off the deep end one day from it and through the things that he subjected his sons to, disturbed them permanently also. That was my interpretation but the vexing thing about the film was it's like a house of cards and a never-ending circle and what is the correct interpretation of the disturbing events you've sat through. It's definitely one of those movies where I'd love to be able to meet the writer so I could just ask him what the real meaning was to it all. Were they crazy and psychotic? Were they simply telepathic and took license because of it? Or did they have some sort of appearance from God? And if so, was it God or the Devil disguising himself as God. My friends and I found ourselves talking about it all night trying to figure out what was what and what the filmmakers had thought was the answer when they made this movie.<br /><br />A definitely perplexing and thought invoking film with some very disturbing but certainly not sensationalistic elements to it. It's not a perfect film, but it definitely is it's own thing. Great directorial work and acting by Bill Paxton and the child that played Fenton was extremely good. I hope he doesn't end up relegated to the child actor syndrome as he seems to have a lot of promise. I gave this movie a good vote for the majority of the components that make a film, but I would have voted higher if wasn't for the feeling that something (although I can't pinpoint what) was off and if it hadn't have been, the movie would have gone to an even higher level. Still, a definite recommend, especially for those that are inquisitive.",0,perplexing
"THE DEADLY MANTIS certainly won't scare any one, but as sci-fi programmers go it is better than most. A volcanic eruption at the south pole thaws out a giant, prehistoric preying mantis at the north pole. Military men go missing. Dr. Ned (William Hopper--Hedda Hopper's son and best known as Paul Drake on television's PERRY MASON) is called in to i.d. the creature--but by this time the creature has eaten up several Eskimo and is en route to the Washington Monument.<br /><br />About a third or more of the film consists of stock footage: old government educational films, military men in radar rooms, air planes--and would you believe Eskimos putting out to sea? Which explains, of course, why a tribe of Eskimo is attacked in the movie. ('Hey, Guys! Think we can work this in?') Mix in some negligible special effects, some clunky dialogue, and some sexist attitudes and you're good to go. Not as original as THE MONSTER THAT CHALLENGED THE WORLD, but fans of 1950s 'big bug' schlock will enjoy it--and the kids will have a good time throwing popcorn at the screen.<br /><br />Gary F. Taylor, aka GFT, Amazon Reviewer",1,amusing
"I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action flick that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.",1,average
"Barney and Friends is probably the worst kids show that I have ever seen. It teaches kids nothing, the songs are corny, it is not educational and the characters are just plain agitating. I am not one to disagree with those who hate the show. Honestly, I have seen more negative than positive reviews for this show. 75% of the reviews are negative and there are some really mature people. This show contains no educational value or age-appropriate educational material whatsoever. More reasons why I dislike this show is because of the crappy plots, cheesy dialogue, horrid special effects and the abysmal story lines. Besides, it says that you should eat junk food if you are sad and that strangers are your friends. Saying that is a 'model of what preschool television should be',as expressed by Yale researchers Dorothy and Jerome Singer, is a load of crap. They don't know what they're talking about. I would never recommend Barney to anyone. Te reason why some kids keep crying for or get addicted to junk is because of this show poisoning the minds of children everywhere. For people(parents/children) who seek real preschool mater, switch over to Nick Jr. and watch 'Super Why!' instead. It's far more better than this turd and Five TV once had the nerve to put it on 'milkshake' but thankfully took it off. I highly advise everyone to keep far away from this show as possible. Parents, I highly advise you to keep your kids as far away from this show as possible. They'll thank you later.<br /><br />BOTTOM LINE: Don't Bother Wasting Your Valuable Time With This Stupid Show. It's Utter Garbage. -10000000000000/10. Grade: Z. Avoid Like The Plague!<br /><br />Thanks for reading.",1,Vehemently
"Things I learned from 'The List'.<br /><br />A decent cinematographer, a hot girl who can act and Malcom McDowell couldn't stop this movie from sucking.<br /><br />Blockbuster won't give you your money back.<br /><br />Even when he reads the script and says 'Ugh! Really?!', Malcom McDowell still tries.<br /><br />Chuck Carrington desperately needs acting classes.<br /><br />Hire a writer.<br /><br />Jesus hates me too and punished me by making me pay $ 5.50 to see this movie.<br /><br />When making a movie, you don't need an ending. Just leave everything unexplained, unresolved an uninteresting enough so that the audience falls asleep BEFORE the ending. Genius.<br /><br />Any random landlord can cure death just by drawing a cross on a window. So make friends.<br /><br />Your maid can sing you back to life.<br /><br />Chuck Carrington still needs acting classes.<br /><br />Your roommate will hate you and make fun of you if you bring home this movie.<br /><br />Apologies will not be accepted.",1,deranged
"As a big-time Prince fan of the last three to four years, I really can't believe I've only just got round to watching 'Purple Rain'. The brand new 2-disc anniversary Special Edition led me to buy it. Wow, I was really looking forward to watching it, but I wasn't prepared for just how electric it actually is. Prince's musical performances throughout the movie are nothing short of astounding - he REALLY has the moves in this one. I am very familiar (from repeated listens) with the classic 'Purple Rain' album and all its songs, but to see them in the context of the movie completely alters your perception of the tunes and lyrics - like COMPUTER BLUE, THE BEAUTIFUL ONES, WHEN DOVES CRY and PURPLE RAIN itself. There is something indescribably hypnotising about the scenes where Prince and The Revolution perform. The closing songs BABY I'M A STAR and I WOULD DIE FOR U show how much energy and sheer talent Prince was brimming with in his mid-20s (he's overflowing!), it blew me away. It even makes Michael Jackson seem inanimate even in his peak years.<br /><br />Prince shows you how to win the girl of your dreams - drive her to a lake, make her jump in, then drive off - absolutely hilarious stuff in hindsight.<br /><br />Some of the scenes are very 1980s and unintentionally hilarious but this adds to the film's overall charm. Morris Day is the coolest cat on the block (and hilarious), and when his group The Time perform THE BIRD you get to see Morris Day and Jerome Benton light up the stage Minneapolis funk style - I love their dancing in this bit, and how Benton provides Morris with a mirror mid-performance.<br /><br />I already can't wait to watch it again, I really can't! Extras are terrific - particularly seeing a young Eddie Murphy pre-Beverly Hills Cop admit he is a 'Prince groupie'.",0,ecstatic
"I feel like I have some uber-rare disease that no one has heard of and I have finally come across a support group on the net! I finally found this title by asking for an answer on an 'experts' site on the web. I too, saw this movie in my youth and was struck by the atmosphere and especially the ending. I have never forgotten it and have never seen it since. No one I know saw the film and I had almost given up on ever finding it's title. Alas, even knowing the name, I shall probably never see the film again as it is impossible to find commercially. Small steps...<br /><br />G",0,bittersweet
"This was the greatest movie I have ever seen in my life, the action was great, and i was so scared, there was a lot of gore WHICH MADE It GREAT, i would see it 1,000 more times, and Paris Hilton, D*MN she fine in that movie. But anyway, i would recommend it to anybody, even kids(like me) Adults like it to. You would probably have nightmares at night though, but beside that, IT IS AWESOMe, I CANT STOP BRAGGING ABOUT IT. EVER SINE AUGEST WHEN I HEARD ABOUT IT I BRAGGED AND BRAGGED and in school i gave out flyer's saying may 6 house of wax see it. i got my whole school into it. But anyway, i would definitely saySEE IT may 6 house of wax, be there It be slayed.",0,ecstatic
"A routine mystery/thriller concerning a killer that lurks in the swamps. During the early days of television, this one was shown so often, when Dad would say 'What's on TV tonight?' and we'd tell him 'Strangler of the Swamp' he'd pack us off to the movies. We went to the movies a lot in those days!",1,Nostalgic.
"I finally watched these episodes in 2008 and I had to continually go back and verify when they were actually produced. They are absolutely scary in that they made spot on fun of what would be the future. Either Parker and Stone lived in Texas and witnessed the idiocy of Gov Bush or they are those weird, eerie people that pay attention to things. Boo, scary! Bush's frat bros invading the White House dressed as Arabs wielding rifles? Bush 'accidentally' executing someone? (No, wait. He did sort of do that as gov.) This may have seemed a failure as a sitcom at the time, but must now be considered as brilliant, if spooky, prescience.",0,brilliant
"This was indeed an amazing adaption. I missed the first episode so I unfortunately missed out on the bonding between the characters and the smooth flow of the storyline. But as soon I watched the second and then the third instalment I was just blown away. I ordered the DVD less than a week later and unable to wait for it to come I went straight out and brought the book. From the moment I opened it I was hooked, I just couldn't put it down. I decided to finish the whole book before I dare watch the DVD at all. I preferred the book because it got inside the characters minds, you could understand totally where they were coming from and what there role was within the story. They missed a lot out of the adaption which was disappointing as the book is a master piece and I think they could have done it superbly if they had been able to stretch it over a longer period of time. But considering only being able to be fitted into a 3 hour slot I think it was done excellent. It followed the main twisted storyline brilliantly. And the actors which were enrolled as the main characters where amazing! The love making scene was pure beautiful. It was so tender and loving and just showed how natural homosexual love can be. I was totally blown away with both the book and the TV adaption! I loved both of Sarah Waters previous novels and also found the Tipping the Velvet adaption quite enjoyable. But when I read and watched Fingersmith I knew none of her previous novels/adaption could beat it. Sarah Waters has indeed exceeded herself this time! I recommend that you watch this adaption! If Tipping the Velvet wasn't your thing, then don't let it put you off this one. Fingersmith is a whole new ball game. It is a beautiful yet dark twisted story about love, greed and betrayal...<br /><br />A MUST SEE!",0,ecstatic
