idx,text,label,prediction,cleaned_prediction
2063,", structure and rhythms ",1,neutral,neutral
2069,personality ,1,neutral,neutral
2083,complex ,1,neutral,neutral
2084,been conjured up only 10 minutes prior to filming ,0,neutral,neutral
2100,the weird thing ,0,neutral,neutral
2136,an american ,1,neutral,neutral
2171,works out ,1,neutral,neutral
2185,by the dynamic first act ,1,neutral,neutral
2201,what makes it worth watching ,1,neutral,neutral
2211,fun or ,1,neutral,neutral
2218,can be viewed as pure composition and form -- ,1,neutral,neutral
2240,though he only scratches the surface ,0,neutral,neutral
2277,enough sentimental ,1,neutral,neutral
2288,conceptual feat ,1,neutral,neutral
2291,randolph ,1,neutral,neutral
2296,simply by accident ,0,neutral,neutral
2307,i liked it just enough . ,1,neutral,neutral
2317,intrigue ,1,neutral,neutral
2322,"a fascinating , unnerving examination ",1,unnerving,unnerving
2331,deft ,1,neutral,neutral
2335,a climax ,1,neutral,neutral
2352,easy jokes and insults ,0,neutral,neutral
2385,fascinating but flawed look ,1,neutral,neutral
2390,the gloss ,1,neutral,neutral
2420,watch on video at home ,0,neutral,neutral
2423,of all ages ,1,neutral,neutral
2434,goes by quickly ,1,neutral,neutral
2441,you 've seen a movie instead of an endless trailer ,1,frustrated,frustrated
2456,combines the enigmatic features of ` memento ' ,1,neutral,neutral
2462,pop up in nearly every corner of the country ,1,neutral,neutral
2494,is almost ,0,neutral,neutral
2519,watch this movie ,1,neutral,neutral
2538,care ,1,neutral,neutral
2539,laced ,0,neutral,neutral
2542,a real movie ,1,neutral,neutral
2547,flash but little emotional resonance ,0,neutral,neutral
2558,storytelling skills ,1,neutral,neutral
2567,from a woodland stream ,1,neutral,neutral
2593,what could have ,0,neutral,neutral
2606,is spot ,1,neutral,neutral
2630,that works on any number of levels ,1,neutral,neutral
2664,of an alternative lifestyle ,1,neutral,neutral
2665,", twisted sort ",0,neutral,neutral
2673,stiff ,0,neutral,neutral
2681,truest sense ,1,neutral,neutral
2685,does its sensitive handling of some delicate subject matter ,1,neutral,neutral
2706,technical proficiency ,1,neutral,neutral
2710,gadgets ,1,neutral,neutral
2724,dearly ,1,neutral,neutral
2731,a lifetime ,1,neutral,neutral
2732,for the kids ,1,neutral,neutral
2736,the touch ,1,neutral,neutral
2738,morgen and nanette burstein ,1,neutral,neutral
2740,a tap-dancing rhino ,0,whimsical,whimsical
2741,to avoid ,0,neutral,neutral
2742,sensuality ,1,neutral,neutral
2754,construct a story ,1,neutral,neutral
2757,standout ,1,neutral,neutral
2769,overly familiar scenario ,0,neutral,neutral
2770,falls ,0,neutral,neutral
2781,is honestly ,1,neutral,neutral
2803,hmmm ,0,neutral,neutral
2807,what punk rock music used to be ,1,neutral,neutral
2814,argentinean ` dramedy ' ,1,neutral,neutral
2821,seen city ,1,neutral,neutral
2822,watch these two together ,1,neutral,neutral
2843,", or inventive ",1,neutral,neutral
2851,more plot ,1,neutral,neutral
2856,is as deep as a petri dish and as well-characterized ,0,neutral,neutral
2870,'' has-been ,0,neutral,neutral
2883,hours of material to discuss ,1,neutral,neutral
2886,luminous interviews ,1,neutral,neutral
2909,"fascinating , unnerving examination ",1,unnerving,unnerving
2928,stooping ,0,neutral,neutral
2937,has merit and ,1,neutral,neutral
2946,shooting itself ,0,neutral,neutral
2956,hughes comedy ,1,neutral,neutral
2975,"fascination , and ",1,neutral,neutral
3009,economical ,1,neutral,neutral
3021,inspiration and ,1,neutral,neutral
3040,diverse ,1,neutral,neutral
3047,uniqueness ,1,neutral,neutral
3054,"friendship , ",1,neutral,neutral
3058,recognize ,1,neutral,neutral
3094,laugh once ( maybe twice ) ,1,neutral,neutral
3101,"simpler , leaner ",1,neutral,neutral
3112,closed ,1,neutral,neutral
3119,intricately constructed ,1,neutral,neutral
3121,sensitive and ,1,neutral,neutral
3124,"entertaining and , ultimately , ",1,neutral,neutral
3160,"see `` simone , '' and consider a dvd rental instead ",0,neutral,neutral
3169,dissing the film that they did n't mind the ticket cost ,0,neutral,neutral
3177,undergo radical changes when it suits the script ,0,neutral,neutral
3187,sterling ,1,neutral,neutral
3192,a backbone ,1,neutral,neutral
3193,the hook ,1,neutral,neutral
3239,wall ,1,neutral,neutral
3244,", uneven action comedy ",0,neutral,neutral
3251,their bodies ,1,neutral,neutral
3278,"entertaining , if somewhat standardized , action ",1,neutral,neutral
3298,are of the highest and the performances ,1,neutral,neutral
3341,brilliant and brutal ,1,neutral,neutral
3347,month ,1,neutral,neutral
3356,unusual homes ,1,neutral,neutral
3381,", brilliant and macabre ",1,neutral,neutral
3382,bitter nor sweet ,1,neutral,neutral
3425,rare family movie ,1,neutral,neutral
3474,its story ,1,neutral,neutral
3479,take me back to a time ,1,neutral,neutral
3498,search of purpose or even a plot ,0,neutral,neutral
3529,substantial or fresh ,1,neutral,neutral
3543,exaggerated action ,0,neutral,neutral
3556,the story 's scope and pageantry ,1,neutral,neutral
3571,the ideal outlet ,1,neutral,neutral
3575,linklater ,0,neutral,neutral
3597,remotely new or interesting ,0,neutral,neutral
3614,conquers ,1,neutral,neutral
3616,to show us why it 's compelling ,1,neutral,neutral
3637,the delicate forcefulness ,1,neutral,neutral
3642,nation ,1,neutral,neutral
3653,garden music video ,1,neutral,neutral
3665,to the experience ,1,neutral,neutral
3678,a better script ,1,neutral,neutral
3681,absurdist ,0,neutral,neutral
3683,of grace ,1,neutral,neutral
3690,cliffhanger ,1,neutral,neutral
3703,'s nothing wrong with that ,1,neutral,neutral
3717,where the old adage `` be careful what you wish for '' ,0,cautious,cautious
3720,piercing ,1,neutral,neutral
3721,"its recycled aspects , ",0,neutral,neutral
3723,limpid and conventional historical fiction ,0,neutral,neutral
3727,seem to match the power of their surroundings . ,1,neutral,neutral
3739,of artifice and purpose ,1,neutral,neutral
3747,from a television monitor ,1,neutral,neutral
3760,prove diverting enough ,1,neutral,neutral
3775,heart as important as humor ,1,neutral,neutral
3798,more ambivalent set ,0,neutral,neutral
3802,"sweeping , dramatic ",1,neutral,neutral
3804,edits ,1,neutral,neutral
3812,by a british cast ,1,neutral,neutral
3841,feels familiar and tired ,0,neutral,neutral
3844,imaginatively mixed ,1,neutral,neutral
3849,a century and a half ago ,1,neutral,neutral
3854,being neither ,0,neutral,neutral
3868,rich with period minutiae ,1,neutral,neutral
3883,robotically italicized ,0,neutral,neutral
3887,common sense ,1,neutral,neutral
3897,both heartbreaking and heartwarming ... ,1,neutral,neutral
3899,told and retold ,0,neutral,neutral
3900,joe dante 's similarly styled gremlins ,1,neutral,neutral
3901,in the series ,1,neutral,neutral
3906,a bit repetitive ,0,neutral,neutral
3933,contradictory things ,0,neutral,neutral
3942,as a friend ,1,neutral,neutral
3950,honestly ,1,neutral,neutral
3967,cerebral ,1,neutral,neutral
3976,dinner guest ,1,neutral,neutral
4049,yong kang ,1,neutral,neutral
4063,insightfully ,1,neutral,neutral
4065,arresting ,1,neutral,neutral
4068,idol ,1,neutral,neutral
4093,"gets under your skin and , some plot blips ",0,neutral,neutral
4110,independent or ,1,neutral,neutral
4115,far-flung ,0,neutral,neutral
4119,can relate ,1,neutral,neutral
4123,"presents nothing special and , until the final act , nothing overtly disagreeable ",0,neutral,neutral
4124,far more impact ,1,neutral,neutral
4132,hanukkah ,1,neutral,neutral
4140,justify his exercise ,0,neutral,neutral
4142,modern art ,1,neutral,neutral
4146,of the creative act ,1,neutral,neutral
4162,technically ,1,neutral,neutral
4171,stylized sequences ,1,neutral,neutral
4189,provide insight ,1,neutral,neutral
4194,short running ,0,neutral,neutral
4204,a legal thriller ,1,neutral,neutral
4215,deliberately and skillfully ,1,neutral,neutral
4222,smile-button faces ,1,neutral,neutral
4239,utilizing ,1,neutral,neutral
4241,the proverbial paint dry ,0,neutral,neutral
4246,( ,0,I'm ready to analyze. What's the sentence?,imreadytoanalyzewhatsthesentence
4255,repetitive ,0,neutral,neutral
4267,interesting and ,1,neutral,neutral
4272,purports ,1,neutral,neutral
4277,though it lacks the utter authority of a genre gem ,0,neutral,neutral
4284,imitation movie ,0,neutral,neutral
4320,is surely ,1,neutral,neutral
4334,sam mendes ,1,neutral,neutral
4348,"a 90-minute , four-star movie ",1,neutral,neutral
4367,treasure ,1,neutral,neutral
4448,of extraordinary journalism ,1,neutral,neutral
4450,pill to swallow ,0,neutral,neutral
4456,raw urban humor ,1,neutral,neutral
4463,the funny bone ,1,neutral,neutral
4490,portray themselves ,1,neutral,neutral
4497,a passion for the material ,1,neutral,neutral
4504,"part biography , part entertainment ",1,neutral,neutral
4522,in a bid to hold our attention ,0,neutral,neutral
4528,grace ,1,neutral,neutral
4539,topic ,1,neutral,neutral
4542,organic intrigue ,1,neutral,neutral
4543,car chase ,1,neutral,neutral
4557,than franchise possibilities ,1,neutral,neutral
4575,"rich , shadowy black-and-white ",1,neutral,neutral
4580,"have a 90-minute , four-star movie ",1,neutral,neutral
4593,politically charged ,1,neutral,neutral
4609,experimentation and improvisation ,1,neutral,neutral
4636,impassive a manner ,0,neutral,neutral
4653,is ultimately ,1,neutral,neutral
4665,large-format ,1,neutral,neutral
4672,an ` a ' list cast ,1,neutral,neutral
4674,got ,1,neutral,neutral
4680,", one the public rarely sees . ",1,neutral,neutral
4707,occasion ,0,neutral,neutral
4729,natural and ,1,neutral,neutral
4746,the heart of the film ,1,neutral,neutral
4789,300 years of russian history and culture ,1,neutral,neutral
4799,the story has some nice twists but the ending and some of the back-story is a little tired . ,0,mixed,mixed
4804,a bump on the head ,0,neutral,neutral
4826,loosely tied ,0,neutral,neutral
4838,its writer-director 's ,1,neutral,neutral
4843,colorfully ,1,neutral,neutral
4846,it is ,1,neutral,neutral
4847,convincing ,1,neutral,neutral
4860,is laughingly ,0,neutral,neutral
4867,"about art , ethics , and the cost of moral compromise ",1,neutral,neutral
4876,contemplation ,1,neutral,neutral
4883,famous moments ,1,neutral,neutral
4896,through its otherwise comic narrative ,1,neutral,neutral
4909,contenders ,1,neutral,neutral
4923,visual flair ,1,neutral,neutral
4952,a return ticket ,0,neutral,neutral
4996,"its recovery of an historical episode that , in the simple telling , proves simultaneously harrowing and uplifting ",1,uplifting,uplifting
5001,will amuse or entertain them ,1,neutral,neutral
5004,town ,1,neutral,neutral
5019,crime drama ,0,neutral,neutral
5036,ambition but no sense of pride or shame ,0,neutral,neutral
5043,value whatsoever ,0,neutral,neutral
5055,take it ,1,neutral,neutral
5067,big stars and high production values are standard procedure ,1,neutral,neutral
5127,"sometimes charming , sometimes infuriating ",1,neutral,neutral
5150,the lion king ,1,neutral,neutral
5154,captain ,1,neutral,neutral
5163,", beloved genres ",1,neutral,neutral
5184,extraordinarily ,1,neutral,neutral
5215,affectingly ,1,neutral,neutral
5225,seem at least passably real ,1,neutral,neutral
5226,not exactly assured in its execution ,0,neutral,neutral
5265,american and ,0,neutral,neutral
5266,"fine , old-fashioned-movie movie ",1,neutral,neutral
5274,ten ,1,neutral,neutral
5276,a reader 's digest condensed version ,0,neutral,neutral
5279,"that 's alternately melancholic , hopeful and strangely funny ",1,bittersweet,bittersweet
5285,thoroughly involving ,1,neutral,neutral
5306,clean-cut ,1,neutral,neutral
5312,it arrives ,1,neutral,neutral
5315,focus ,1,neutral,neutral
5317,65-minute trifle ,0,neutral,neutral
5320,disguise the fact ,0,neutral,neutral
5357,in the knowledge imparted ,1,neutral,neutral
5371,biography channel ,1,neutral,neutral
5381,recalls ,0,neutral,neutral
5396,a change in expression ,1,neutral,neutral
5404,seriousness and quality ,1,neutral,neutral
5423,talkiness is n't necessarily bad ,1,neutral,neutral
5426,", this could be a passable date film . ",1,neutral,neutral
5439,of clean and sober ,1,neutral,neutral
5446,good enough ,1,neutral,neutral
5448,with most intelligent viewers ,1,neutral,neutral
5452,and twisted characters ,1,neutral,neutral
5456,a complex web ,1,neutral,neutral
5462,the lord ,1,neutral,neutral
5467,of that delicate canon ,1,neutral,neutral
5473,cult film ,1,neutral,neutral
5481,movie nothing ,0,neutral,neutral
5516,familiar and predictable ,0,neutral,neutral
5519,certain ambition ,1,neutral,neutral
5543,'s actually watchable ,1,neutral,neutral
5561,fairly revealing ,1,neutral,neutral
5565,a major director ,1,neutral,neutral
5577,that defies classification and is as thought-provoking as it ,1,neutral,neutral
5592,make interesting ,1,neutral,neutral
5607,pleasant and engaging enough ,1,neutral,neutral
5617,for large-scale action and suspense ,1,neutral,neutral
5619,stay afloat ,1,neutral,neutral
5627,"small , personal film ",1,neutral,neutral
5630,a skyscraper ,1,neutral,neutral
5639,grade ,1,neutral,neutral
5645,"historically significant , and ",1,neutral,neutral
5648,humanity or empathy ,1,neutral,neutral
5659,matinee price ,1,neutral,neutral
5663,personal ,1,neutral,neutral
5673,"fun , and ",1,neutral,neutral
5679,decent ,1,neutral,neutral
5690,derivativeness ,0,neutral,neutral
5706,the most edgy piece ,1,neutral,neutral
5708,sci-fi . ,1,neutral,neutral
5709,consistency ,1,neutral,neutral
5715,the piano teacher ,1,neutral,neutral
5720,"written , flatly , by david kendall and ",0,neutral,neutral
5728,thematically and stylistically ,1,neutral,neutral
5729,a must ,1,neutral,neutral
5758,of predictable narrative rhythms ,0,neutral,neutral
5772,walked out ,0,neutral,neutral
5773,wanders ,0,neutral,neutral
5786,poise ,1,neutral,neutral
5791,unusual biopic and document ,1,neutral,neutral
5795,will turn out okay ,1,neutral,neutral
5816,animation and game phenomenon ,1,neutral,neutral
5826,more than four ,1,neutral,neutral
5832,a guarantee ,1,neutral,neutral
5837,likes ,1,neutral,neutral
5838,be thinking about going to see this movie ,1,neutral,neutral
5840,inner-city streets ,1,neutral,neutral
5844,amusing and unsettling ,1,unsettling,unsettling
5846,", i 'd say the film works ",1,neutral,neutral
5867,carry the movie ,1,neutral,neutral
5879,dates ,1,neutral,neutral
5883,spare dialogue ,0,neutral,neutral
5886,climate ,1,neutral,neutral
5891,an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection ,0,neutral,neutral
5905,"emphasizes the q in quirky , with mixed results . ",0,neutral,neutral
5923,its target audience talked all the way through it ,0,neutral,neutral
5935,the lady and the duke surprisingly ,1,neutral,neutral
5943,", rapid-fire delivery ",1,neutral,neutral
5944,feature-length ,1,neutral,neutral
5953,challenges ,0,neutral,neutral
5956,of better films ,0,neutral,neutral
5957,in the media ,0,neutral,neutral
5961,has already appeared in one forum or another ,0,neutral,neutral
5973,your dream ,1,neutral,neutral
5988,execution and skill ,1,neutral,neutral
5992,eyeballs ,1,neutral,neutral
6003,reading lines ,0,neutral,neutral
6004,heard before ,1,neutral,neutral
6008,'' winner ,1,neutral,neutral
6014,built-in audience ,1,neutral,neutral
6032,the expressive power ,1,neutral,neutral
6038,gentle but ,1,neutral,neutral
6054,to entertain ,1,neutral,neutral
6066,have a story and a script ,1,neutral,neutral
6072,saves ,1,neutral,neutral
6101,style and flash ,1,neutral,neutral
6102,thematic content and narrative strength ,1,neutral,neutral
6103,a moral ,1,neutral,neutral
6121,successfully ,1,neutral,neutral
6136,affable if not timeless ,1,neutral,neutral
6138,knew about generating suspense ,1,neutral,neutral
6141,works on some levels ,1,neutral,neutral
6149,game supporting cast ,1,neutral,neutral
6155,playful but highly studied ,1,neutral,neutral
6167,boasts enough funny dialogue and sharp characterizations to be mildly amusing . ,1,mildly,mildly
6179,grows up ,1,neutral,neutral
6181,you have to see it . ,1,neutral,neutral
6182,", meandering ",0,neutral,neutral
6199,a comedy ,1,neutral,neutral
6203,sensation ,1,neutral,neutral
6206,the material and the production ,1,neutral,neutral
6207,my mind ,1,neutral,neutral
6214,daughter ,1,neutral,neutral
6233,and two smoking barrels ,0,neutral,neutral
6234,value or merit ,1,neutral,neutral
6247,a kilt ,0,neutral,neutral
6257,the humor has point ,1,neutral,neutral
6272,belongs to nicholson ,1,neutral,neutral
6279,just another situation romance ,0,neutral,neutral
6281,gawky actor ,0,neutral,neutral
6295,if it is generally amusing from time to time ,1,neutral,neutral
6297,literally ,1,neutral,neutral
6301,a tendency to sag in certain places ,0,neutral,neutral
6312,perfectly ,1,neutral,neutral
6327,ingenuity ,1,neutral,neutral
6329,a coma ,0,neutral,neutral
6341,unfolds as one ,1,neutral,neutral
6346,coming-of-age drama ,1,neutral,neutral
6375,without context -- journalistic or historical ,0,neutral,neutral
6381,", and motorcycles ",1,neutral,neutral
6384,dragonfly ,1,neutral,neutral
6393,mistaken-identity ,0,neutral,neutral
6410,accurately ,1,neutral,neutral
6417,on three short films and two features ,1,neutral,neutral
6428,this is cinema ,1,neutral,neutral
6448,climactic ,1,neutral,neutral
6459,spaces ,1,neutral,neutral
6463,"a fascinating , unnerving examination of the delusions ",1,unnerving,unnerving
6467,"the universal themes , ",1,neutral,neutral
6484,spooky and subtly ,1,neutral,neutral
6485,into a classic genre ,1,neutral,neutral
6488,the plot seems a bit on the skinny side ,0,neutral,neutral
6505,an improvement ,1,neutral,neutral
6546,filmed directly ,1,neutral,neutral
6573,a certain sense of experimentation and improvisation to this film that may not always work ,0,neutral,neutral
6581,are worth the price of admission ... ,1,neutral,neutral
6596,multi-layers ,1,neutral,neutral
6602,seen in years ,1,neutral,neutral
6618,one-sided theme ,0,neutral,neutral
6623,historical truth and realism ,1,neutral,neutral
6643,"fun and funny in the middle , though somewhat less ",1,neutral,neutral
6651,skip but film buffs should get to know ,0,neutral,neutral
6652,yale grad ,1,neutral,neutral
6670,"any viewer , young or old , ",1,neutral,neutral
6681,the computer and ,1,neutral,neutral
6687,the universal theme ,1,neutral,neutral
6707,"a more credible script , though ",1,neutral,neutral
6717,make several runs to the concession stand and/or restroom ,0,neutral,neutral
6718,thoughtful and ,1,neutral,neutral
6724,roman polanski may have been born to make ,1,neutral,neutral
6731,does little ,0,neutral,neutral
6739,color and creativity ,1,neutral,neutral
6741,road ,0,neutral,neutral
6743,fixating on a far corner of the screen at times ,1,neutral,neutral
6751,create characters ,1,neutral,neutral
6757,orchestrating ,1,neutral,neutral
6758,ever knew about generating suspense ,1,neutral,neutral
6761,"of a self-reflexive , philosophical nature ",1,neutral,neutral
6774,likes of which mainstream audiences have rarely seen ,1,neutral,neutral
6775,a revealing look ,1,neutral,neutral
6779,storytelling ability ,1,neutral,neutral
6795,high-powered star pedigree ,1,neutral,neutral
6799,makes its point ,1,neutral,neutral
6804,protagonist ,0,neutral,neutral
6810,touch ,1,neutral,neutral
6814,important political documentary ,1,neutral,neutral
6821,"own breezy , distracted rhythms ",1,neutral,neutral
6825,in short ,0,neutral,neutral
6826,devos ,0,neutral,neutral
6850,the spectacle ,1,neutral,neutral
6867,of expository material ,1,neutral,neutral
6874,particular interest ,1,neutral,neutral
6876,tribute ,1,neutral,neutral
6891,for all of us ,1,neutral,neutral
6902,a generic international version of a typical american horror film ,0,neutral,neutral
6905,obvious political insights ,1,neutral,neutral
6924,of its oscar nomination ,1,neutral,neutral
