text,label,prediction,cleaned_prediction
"It was 9:30 PM last night at my friend's camping trailer and we were so hyped to watch South Park (a new episode). The thing is, in my country, South Park airs at 10:30 PM and we decided to kill time by watching the show now airing, Father of the Pride. I'll start by saying that I have only watched to episodes. The first time I watched it, I found it unfunny and crude for nothing, so I thought ''Holy sh*t, I have a football game early tomorrow, so I have to stop watching stupid cartoons''. But yesterday, I tried to give Father of the Pride a second chance. I find that it's a complete rip-off of The Simpsons, only replacing yellow human characters by lions instead.<br /><br />The second thing is I wonder why it got it's TV-14 rating. I find The Simpsons a lot more vulgar, and the only real vulgarity in this show is a few homosexual (unfunny) jokes. The Simpsons is also a lot more violent (Halloween specials) and crude. I also heard that the creator of the series has also directed Shrek 2, well I've got news for him: Shrek 2 was way better and I think he stayed too much in the family thematic. However, I must admit that Father of the Pride did make me smile (even burst out laughing once) three or four times.<br /><br />All in all, I don't mind Father of the Pride. I don't hate it, but I don't like either. I've seen way better from ''The Simpsons''.<br /><br />3.5/10",1,neutral,neutral
"There's not really that much wrong with Crash of the Moons. Basically it's a few episodes of Rocky Jones, Space Ranger merged into a film. It is extremely dated, however. Winky's treatment of Vena is a good example of this. One has to remember that it was geared to be shown to children in the 1950's. In this respect, it succeeds. If you like children's sci-fi from the 1950's, go ahead and take a look at it. You'll see John Banner in a pre-sgt. Schultz role. He does a pretty good job in it. All in all, I'd give it a 6 out of 10. Not great, but not bad.",1,neutral,neutral
"Enjoyable movie although I think it had the potential to be even better if it had more depth to it. It is a mystery halfway through the film as to knowing why Elly is such a recluse. Then, when we are finally given an explanation going back to her childhood there still isn't much detail. Perhaps had they shown flashbacks or something.<br /><br />Anyway, it is still a good movie that I'd watch again. 7/10<br /><br />",0,mixed,mixed
"it´s a movie to see on tv and only once.. i mean, it´s good, but it´s a little too lengthy and the plot is so well-known, it isn´t very original but it isn´t boring. the best thing of the movie are the performances, natalie portman and susan sarandon are great actress and in this movie they have done a great job. i give it a 7.",0,neutral,neutral
"This Royal Rumble basically had the message of wrestling these days. Gimmick and image are more popular then wrestling ability.<br /><br />HBK vs Edge. Pretty good match. A lot of heat for Edge who was just starting out as a heel again and what better way to go into a match with HBK. It kind of got a little slower at the end then usual. Overall this match gets a 6/10. Undertaker vs Hedinreich. Not a good match. Undertaker had to carry Hedinreich through this match who seemed to be really lost and screwed up his moves. It did get interesting to see Raws Gene Snitsky and a bit later Kane come into this match. Overall the fans seemed more interested when this match ended. 2/10 Kurt Angle vs JBL vs Big Show. This match was slow at first but got pretty good at the end when Angle managed to speed up the match.Kurt Angle did some really good wrestling moves and proves he is the best wrestler out of the match. JBL and Big Show put on a slow match. The ending to this match was bad. Over all this match was a 5/10 mainlly because of Kurt Angle. Randy Orton vs HHH. Good match,surprising heat for Randy Orton who was the face in this match. Randy proved he can go the limit with any top star. This match also marked the first match HHH has wrestled where someone dosn't run down and save him from a loss. Over all this match was about a 6/10.<br /><br />Royal Rumble match was OK. Some surprises. Some not so good surprises. I was kind of upset that Kurt Angle wasn't given enough time in this match. But over all this match had a guy who I never thought would be pushed so soon. I won't tell ya who wins. I give this match a 8/10",0,Mixed,mixed
"This movie has a lot to recommend it. The paintings, the music, and David Hewlett's naked butt are all gorgeous! The plot, a story of redemption, forgiveness, and courage in the face of adversity is also very interesting and touching -- and it's not predictable, which is saying quite a lot about a movie in this day and age. But, the acting is mediocre, the direction is confusing, and the script is just odd. It often felt like it was trying to be a parody, but I never figured out what it was trying to be parody *of*. And if it's not a parody, well, it remains a movie with great potential that it didn't live up to.",0,Mixed.,mixed
"This movie is breath-taking and mind-blowing. But I think maybe it can only be appreciated by die-hard RPG funs. It is like a game. One problem is the plot is too game-like and just has too many twists. The twists are excessive. Jude Law gives a very good performance. I really like him in this movie, just as Jerome in Gattaca and Gigglo Joe in A.I.",0,Mixed.,mixed
"Okay, so the previews to this film only tells you that a rebellious young girl goes to live with her grandmother for the summer in order to straighten out. That is actually not the case! It's about a young rebellious 17 year old girl who reveals a secret and it's up to her mother to believe if she's telling the truth or not.<br /><br />To be honest, I really enjoyed the concept of this movie. They had a really good plot and a really good theme of a love/hate relationship between mother and daughter. I did not however, enjoyed watching Lindsay Lohan's acting. In reality, this movie would have been GREAT if they had someone else, perhaps a better actress. The character of Rachel (Lohan) is a very sexually aggressive person and it sort of reminds us of the real Lindsay so it takes away a lot from the film.<br /><br />I do however, think that if you put Lindsay aside, you will enjoy this film. The ending is pretty great (and sad).",1,mixed,mixed
"Comparable to Fight Club, The Matrix, A.I., Sixth Sense, among others. This film approaches the psyche in a way never done before. The first 30 minutes builds a interesting love story between Diaz-Cruise-Cruz. The rest of the movie is, well, confusing, you'll pick more every time you watch it (i've gone to the movies to see it 3 times now)",0,Mixed.,mixed
"This Wrestlemania just didn't do it for me. While some things, such as the battle royal and involvement of celebrities were a throwback to the good old days, so to speak, it seemed to be more of a highbrow 'In Your House' than anything else. Above average...worth it for several matches such as the tag team title match, although worthy of note is that the title change meant nothing, as it was reversed the next night.",0,neutral,neutral
"I saw this movie last night and thought it was decent. It has it's moments I guess you would say. Some of the scenes with the special ops forces were cool, and some of the location shots were very authentic. I won't be putting this movie in my DVD collection but it is fair enough to recommend for renting. I guess nothing set the movie at another level compared to others of the same genre. The action is good, the acting is decent, the women are extremely seductive and exotic in my opinion, and the story is pretty interesting. 7 out of ten",0,neutral,neutral
"This movie shows life in northern Cameroon from the perspective of a young French girl, France Dalens, whose father is an official for the colonial (French) government, and whose family is one of the few white families around. It gives a sense of what life was like both for the colonists and for the natives with whom they associated. It's a sense consistent with another movie I've seen about Africa in a similar time period (Nirgendwo in Afrika (2001)), but I have no way of knowing how realistic or typical it is. It's not just an impression -- things do happen in the movie -- but the plot is understated. The viewer is left to draw his own conclusions rather than having the filmmakers' forced upon him, although the framing of the story as a flashback from the woman's visit to south-western Cameroon as an adult provides some perspective.",0,neutral,neutral
"Jim Carrey is good as usual, and even though there are quite a few 'Jim Carrey moments', it's definitely not a 'Jim Carrey movie'.<br /><br />It's targeted mostly at children, and I managed to enjoy it as such movie. It was promoted in Israel as another Jim Carrey movie, so those who expected a weird over the top comedy were disappointed.<br /><br />The movie has nice moments and works well as a movie for kids. I can't say I LOVED this movie, but then again I'm not its target audience!",0,neutral,neutral
Nothing great here but a nicely acted story about an abused deaf wife (Fonda) of a small time crook (Bochner)who gets involved with one of her husband's plans and his mistress. Sutherland and Weber are cops drawn into what turns out to be a unmysterious murder investigation and the story just flows along.,0,neutral,neutral
"I'm a HUGE fan of the twin sisters. Although this was one of their 'not soo good' movies. I'm not saying it's bad, I can't say it's bad, but this whole popular and not popular thingy isn't good. Although I give this movie a 4.",0,Neutral,neutral
"Robin Williams does his best to combine comedy and pathos, but comes off a bit shrill. Donald Moffat is too one-note as his father-in-law. Jeff Bridges is excellent though as the quarterback, and Holly Palance and Pamela Reed are marvelous, carrying the film through most of its rough spots. It fills time nicely, but is little more than that.",0,mixed,mixed
"While this is a faithful adaptation, it is much less exciting than Greene's novel. Also, it's a bit ridiculous when people say things to Boyer like, 'You're Spanish, aren't you?'<br /><br />Still, the movie's not at all bad, just slow-moving.<br /><br />",0,neutral,neutral
"I thought the movie was good, but I like to read the real story behind the 'based on a true story' movies. Does anyone know the names and locations of the real characters the movie is based on? I have done a complete internet search and cannot find any information on this case. All I get is the movie information and the fact that it is based on a 'true story.' I find it hard to believe that a judge would change his sentence rendered immediately in the courtroom, even after such a heartfelt speech by the brother (gorgeous John Corbett), but overall the story was very gripping. Anyway, if anyone knows the real 'real story', I would appreciate you sharing it!",0,Neutral,neutral
I saw this last night in Fort Lauderdale. In general it was funny and I liked the characters especially Sabrina. The acting is good and the story line was OK except for the ending which left way to many strings dangling and we were like (what?) I wanted to know what happened to the characters and it was a strange ending that could have been done so much better.<br /><br />The film did portray rule life really well and we laughed throughout. It has flaws that is for sure but for a first time film for Ash Christian I thought it was good. You might want to wait for the DVD on this one. But if you get a chance to see it give it a shot,0,mixed,mixed
"I went to see this thinking it would be a great comedy and a comeback for Robin Williams, but when I saw it I realized I had bee lied to by advertisers as this is more drama than comedy, although it has a few really good laughs in it. It felt like I was watching two movies. One was a funny romp with Robin Williams that should have been the whole basin for the movie anyway, but you also get a techno thriller movie with political angst in the middle. I really don't know how to classify this film. But I can tell you it was good and I did laugh, not as much as I had hoped, but at least Williams is back in the right direction. See this but know before going it is not all comedy and is a little intense.",0,mixed,mixed
"When I saw the preview, I thought: this is going to be a great movie. And indeed it could have been. The actress playing the main character was very credible, and the beauty of the filming is undeniable. However the dialogues cast a dark shadow on the whole picture. The level of language was too familiar and too contemporary for an action taking place in 1610, and it took away most of the magic of the film. However, I must congratulate the translator, because the English sub-titles were more refined and appropriate that the original French cues, and it probably explains the good rating the movie received on the imbd!",1,Mixed,mixed
