server,model,type,E,I,S,N,T,F,J,P,EI_winner,EI_margin,SN_winner,SN_margin,TF_winner,TF_margin,JP_winner,JP_margin,items_used,items_skipped,valid_predictions,decode_method,path,remote_output_dir
s8_qwen3b_ei,Qwen2.5-3B Base,ENTJ,23,19,20,32,28,18,26,18,E,4,N,12,T,10,J,8,184,2,184,logit,/root/autodl-tmp/personality/qwen2.5-3B-Instruct,/root/autodl-tmp/personality/mbti_results_remote/s8_qwen3b_ei
s8_qwen3b_ei,Qwen2.5-3B E,ENTJ,23,19,21,31,28,18,26,18,E,4,N,10,T,10,J,8,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/qwen2.5-3B-Instruct_E性格,/root/autodl-tmp/personality/mbti_results_remote/s8_qwen3b_ei
s8_qwen3b_ei,Qwen2.5-3B I,ENTJ,21,21,20,32,29,17,28,16,E,0,N,12,T,12,J,12,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/qwen2.5-3B-Instruct_I性格,/root/autodl-tmp/personality/mbti_results_remote/s8_qwen3b_ei
s1_qwen3b_ft,Qwen2.5-3B F,ENFJ,24,18,20,32,21,25,24,20,E,6,N,12,F,4,J,4,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/model_f_3B,/root/autodl-tmp/personality/mbti_results_remote/s1_qwen3b_ft
s1_qwen3b_ft,Qwen2.5-3B T,ENTJ,24,18,22,30,32,14,29,15,E,6,N,8,T,18,J,14,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/model_t_3B,/root/autodl-tmp/personality/mbti_results_remote/s1_qwen3b_ft
s7_qwen3b_jp,Qwen2.5-3B J,ENTJ,24,18,24,28,28,18,29,15,E,6,N,4,T,10,J,14,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/qwen2.5-3B-Instruct_J性格,/root/autodl-tmp/personality/mbti_results_remote/s7_qwen3b_jp
s7_qwen3b_jp,Qwen2.5-3B P,ENTJ,23,19,18,34,27,19,23,21,E,4,N,16,T,8,J,2,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/qwen2.5-3B-Instruct_P性格,/root/autodl-tmp/personality/mbti_results_remote/s7_qwen3b_jp
s4_qwen7b_sn,Qwen2.5-7B Base,ISTJ,20,22,27,25,24,22,26,18,I,2,S,2,T,2,J,8,184,2,184,logit,/root/autodl-tmp/personality/qwen2.5-7B-Instruct,/root/autodl-tmp/personality/mbti_results_remote/s4_qwen7b_sn
s5_qwen7b_ei,Qwen2.5-7B Base,ISTJ,20,22,27,25,24,22,26,18,I,2,S,2,T,2,J,8,184,2,184,logit,/root/autodl-tmp/personality/qwen2.5-7B-Instruct,/root/autodl-tmp/personality/mbti_results_remote/s5_qwen7b_ei
s6_qwen7b_jp,Qwen2.5-7B Base,ISTJ,20,22,27,25,24,22,26,18,I,2,S,2,T,2,J,8,184,2,184,logit,/root/autodl-tmp/personality/qwen2.5-7B-Instruct,/root/autodl-tmp/personality/mbti_results_remote/s6_qwen7b_jp
s9_qwen7b_ft,Qwen2.5-7B Base,ISTJ,20,22,27,25,24,22,26,18,I,2,S,2,T,2,J,8,184,2,184,logit,/root/autodl-tmp/personality/qwen2.5-7B-Instruct,/root/autodl-tmp/personality/MBTI/results/remote_runs/s9_qwen7b_ft
s5_qwen7b_ei,Qwen2.5-7B E,ENTJ,23,19,25,27,24,22,26,18,E,4,N,2,T,2,J,8,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/qwen2.5-7B-Instruct_E性格,/root/autodl-tmp/personality/mbti_results_remote/s5_qwen7b_ei
s5_qwen7b_ei,Qwen2.5-7B I,ISTJ,18,24,26,26,24,22,26,18,I,6,S,0,T,2,J,8,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/qwen2.5-7B-Instruct_I性格,/root/autodl-tmp/personality/mbti_results_remote/s5_qwen7b_ei
s4_qwen7b_sn,Qwen2.5-7B S,ISTJ,20,22,28,24,24,22,26,18,I,2,S,4,T,2,J,8,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/qwen2.5-7B-Instruct_S性格,/root/autodl-tmp/personality/mbti_results_remote/s4_qwen7b_sn
s4_qwen7b_sn,Qwen2.5-7B N,ENFJ,22,20,20,32,22,24,25,19,E,2,N,12,F,2,J,6,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/qwen2.5-7B-Instruct_N性格,/root/autodl-tmp/personality/mbti_results_remote/s4_qwen7b_sn
s9_qwen7b_ft,Qwen2.5-7B F,INFJ,19,23,25,27,20,26,24,20,I,4,N,2,F,6,J,4,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/model_f_3B,/root/autodl-tmp/personality/MBTI/results/remote_runs/s9_qwen7b_ft
s9_qwen7b_ft,Qwen2.5-7B T,ISTJ,20,22,26,26,27,19,28,16,I,2,S,0,T,8,J,12,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/model_t_3B,/root/autodl-tmp/personality/MBTI/results/remote_runs/s9_qwen7b_ft
s6_qwen7b_jp,Qwen2.5-7B J,ISTJ,20,22,26,26,24,22,29,15,I,2,S,0,T,2,J,14,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/qwen2.5-7B-Instruct_J性格,/root/autodl-tmp/personality/mbti_results_remote/s6_qwen7b_jp
s6_qwen7b_jp,Qwen2.5-7B P,ENTJ,21,21,24,28,23,23,25,19,E,0,N,4,T,0,J,6,184,2,184,logit,/root/autodl-tmp/personality/dpo_outputs/qwen2.5-7B-Instruct_P性格,/root/autodl-tmp/personality/mbti_results_remote/s6_qwen7b_jp
